Label,Year,Team,Conference,Wins,Losses,Seed,Outcome
Duke2002,2002,Duke,ACC,31,4,1.0,S16
Cincinnati2002,2002,Cincinnati,CUSA,31,4,1.0,R32
Maryland2002,2002,Maryland,ACC,32,4,1.0,Champ
Kansas2002,2002,Kansas,B12,33,4,1.0,F4
Oklahoma2002,2002,Oklahoma,B12,31,5,2.0,F4
Indiana2002,2002,Indiana,B10,25,12,5.0,C2
Florida2002,2002,Florida,SEC,22,9,5.0,R64
Illinois2002,2002,Illinois,B10,26,9,4.0,S16
Oregon2002,2002,Oregon,P10,26,9,2.0,E8
Kentucky2002,2002,Kentucky,SEC,22,10,4.0,S16
Marquette2002,2002,Marquette,CUSA,26,7,5.0,R64
USC2002,2002,USC,P10,22,10,4.0,R64
Arizona2002,2002,Arizona,P10,24,10,3.0,S16
Kent St.2002,2002,Kent St.,MAC,29,6,10.0,E8
Stanford2002,2002,Stanford,P10,20,10,8.0,R32
Pittsburgh2002,2002,Pittsburgh,BE,29,6,3.0,S16
Ohio St.2002,2002,Ohio St.,B10,24,8,4.0,R32
Connecticut2002,2002,Connecticut,BE,27,7,2.0,R64
Notre Dame2002,2002,Notre Dame,BE,21,11,8.0,R32
South Carolina2002,2002,South Carolina,SEC,21,15,17.0,None
North Carolina St.2002,2002,North Carolina St.,ACC,23,11,7.0,R32
Alabama2002,2002,Alabama,SEC,27,8,2.0,R32
Xavier2002,2002,Xavier,A10,26,6,7.0,R32
Gonzaga2002,2002,Gonzaga,WCC,28,4,6.0,R64
Georgia2002,2002,Georgia,SEC,22,9,3.0,R32
Mississippi St.2002,2002,Mississippi St.,SEC,27,8,3.0,R32
Texas2002,2002,Texas,B12,22,12,6.0,S16
Butler2002,2002,Butler,Horz,26,6,17.0,None
Missouri2002,2002,Missouri,B12,24,12,12.0,E8
Wake Forest2002,2002,Wake Forest,ACC,21,13,7.0,R32
Texas Tech2002,2002,Texas Tech,B12,23,9,6.0,R64
Michigan St.2002,2002,Michigan St.,B10,19,12,10.0,R64
Memphis2002,2002,Memphis,CUSA,27,9,17.0,None
Mississippi2002,2002,Mississippi,SEC,19,11,9.0,R64
UCLA2002,2002,UCLA,P10,21,12,8.0,S16
Georgetown2002,2002,Georgetown,BE,18,11,17.0,None
California2002,2002,California,P10,23,9,6.0,R32
Oklahoma St.2002,2002,Oklahoma St.,B12,23,9,7.0,R64
Miami FL2002,2002,Miami FL,BE,24,8,5.0,R64
