,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
0,Baylor,B12,8-0,Kansas2016,Kansas2011,North Carolina2015,1.54,1,1.0000000000000004
1,Gonzaga,WCC,9-0,North Carolina2019,North Carolina2005,Kentucky2017,1.54,1,0.9999999999999999
2,Tennessee,SEC,7-0,Cincinnati2018,Connecticut2009,Kansas2013,2.31,2,0.9713824596466164
3,Wisconsin,B10,8-2,Texas2011,Purdue2011,Kansas2015,3.08,2,0.9814563328889575
4,Texas,B12,7-1,Illinois2003,Memphis2007,Kentucky2010,2.83,4,1.0000000000000004
5,Illinois,B10,7-3,Florida St.2017,BYU2010,Xavier2016,3.26,3,1.0000000000000002
6,Texas Tech,B12,8-2,Louisville2009,Purdue2010,Louisville2015,4.03,4,0.9444951696632584
7,Houston,Amer,7-1,Louisville2008,Louisville2011,Purdue2009,3.56,3,0.9561737738376792
8,Iowa,B10,8-2,Iowa St.2016,North Carolina2018,Xavier2018,4.69,4,1.0000000000000002
9,Villanova,BE,8-1,Michigan2013,Baylor2010,Michigan St.2014,4.04,4,0.9799559604696914
10,Virginia,ACC,5-2,Wisconsin2004,Pittsburgh2013,Georgetown2008,5.32,3,0.9664429618544368
11,Kansas,B12,8-1,Florida St.2019,Mississippi St.2004,Seton Hall2016,4.32,4,0.9999999999999999
12,West Virginia,B12,8-2,Kentucky2002,LSU2006,Marquette2008,4.71,4,0.9772094262545007
13,Creighton,BE,7-2,North Carolina2006,Duke2003,Washington2011,4.69,3,0.9615006803787607
14,Michigan,B10,7-0,Louisville2005,Penn St.2018,BYU2009,4.77,4,0.9008117329168143
15,Oregon,P12,6-1,Penn St.2018,Louisville2005,California2016,4.95,4,0.8877228372116631
16,Saint Louis,A10,7-1,West Virginia2015,BYU2009,Louisville2005,5.27,4,0.9449055625079995
17,Rutgers,B10,7-1,Illinois2002,Kansas2019,Seton Hall2016,4.36,4,0.9861728102147724
18,Indiana,B10,6-4,Oklahoma St.2013,Iowa2013,Kentucky2005,5.31,5,0.839428736626992
19,Florida,SEC,4-1,Seton Hall2016,Marquette2012,Nevada2004,5.41,4,0.9721240119354063
20,Ohio St.,B10,8-2,Syracuse2005,Kentucky2007,Kentucky2014,5.57,4,1.0
21,Arkansas,SEC,9-0,Wake Forest2009,Washington2009,Washington2010,4.57,4,0.965962380691066
22,Clemson,ACC,7-1,Louisville2012,Florida St.2010,Louisville2004,6.83,4,0.9156072357045882
23,Connecticut,BE,4-1,Oklahoma St.2010,Missouri2013,Indiana2008,7.1,8,0.9651788151983415
24,USC,P12,5-1,Memphis2003,Nevada2004,Seton Hall2016,6.49,7,0.9388105284631897
25,Colorado,P12,6-2,West Virginia2015,Belmont2011,VCU2013,6.71,5,0.8798084926332829
26,Florida St.,ACC,5-2,Marquette2012,Illinois2002,North Carolina2014,5.58,3,0.9232184999707087
27,Syracuse,ACC,6-1,Maryland2004,Wake Forest2009,Connecticut2003,5.03,4,0.8535744655020665
28,Duke,ACC,3-2,Minnesota2017,Marquette2012,Syracuse2007,5.58,5,0.8400320651208695
29,San Diego St.,MWC,6-1,Cincinnati2016,Xavier2009,SMU2014,7.29,9,0.8742316533560889
30,Mississippi,SEC,5-2,Tennessee2010,UTEP2010,South Carolina2017,7.48,6,0.9582343416767845
31,Missouri,SEC,6-1,UNLV2012,Georgia Tech2010,Memphis2013,6.82,6,0.9136289065215222
32,North Carolina St.,ACC,6-1,Syracuse2007,Minnesota2017,Georgetown2002,5.91,4,0.679338410113077
33,Stanford,P12,5-2,Bradley2006,Georgia Tech2005,Wake Forest2010,8.25,9,0.9352787985183455
34,Seton Hall,BE,7-4,Gonzaga2010,Alabama2002,Texas A&M2018,6.75,7,0.8236524945650056
35,Purdue,B10,7-4,Rhode Island2017,Arkansas2006,Baylor2018,9.03,11,0.8338334487026493
36,UCLA,P12,5-2,Missouri2018,Temple2012,New Mexico2014,8.47,8,0.9369419834333632
37,Penn St.,B10,3-4,Oklahoma St.2018,Vanderbilt2010,Arkansas2015,6.33,4,0.657931603008569
38,Minnesota,B10,9-1,Washington2010,Wake Forest2009,George Washington2006,6.94,4,0.6878132611955151
39,LSU,SEC,6-1,Notre Dame2003,Iowa St.2013,Iowa2019,7.43,5,0.9101451596621798
40,Oklahoma,B12,5-2,Oklahoma St.2018,Oklahoma St.2009,Vanderbilt2010,6.7,8,0.6547657817061543
41,Louisville,ACC,6-1,Texas2018,Clemson2007,California2012,8.48,12,0.8208434983242927
42,Northwestern,B10,6-2,Creighton2003,UCLA2013,Kansas2004,7.19,6,0.8086759804644252
43,VCU,A10,8-2,UAB2004,Bradley2006,Purdue2003,8.96,9,0.8121991217585913
44,Xavier,BE,8-2,Mississippi St.2007,Nebraska2018,Utah St.2019,8.08,8,0.5269085877284172
45,North Carolina,ACC,5-4,UAB2004,Georgetown2002,Massachusetts2007,8.36,9,0.6116980864799918
46,Loyola Chicago,MVC,6-2,South Carolina2004,Baylor2013,Syracuse2004,9.14,10,0.7363484054264505
47,Alabama,SEC,6-3,George Washington2006,Washington2010,Louisville2002,7.84,8,0.5611255269664593
48,Arizona,P12,7-1,Creighton2003,TCU2019,Marquette2006,6.77,6,0.7626781203267253
49,Maryland,B10,6-3,Western Michigan2004,Florida St.2014,TCU2017,9.47,11,0.5800208637241456
50,Providence,BE,7-3,Texas2005,Nebraska2019,North Carolina St.2012,9.35,11,0.627623617728555
51,Marquette,BE,5-5,Gonzaga2003,VCU2010,Mississippi St.2018,8.83,9,0.548215403226403
52,Richmond,A10,7-2,Oregon2003,Tennessee2007,Davidson2007,8.91,8,0.6312602264262694
53,BYU,WCC,9-2,Massachusetts2007,South Carolina2016,Georgetown2002,10.98,12,0.27597421167754077
54,Virginia Tech,ACC,8-1,Indiana2019,California2003,Belmont2013,9.6,11,0.4492033518836706
55,Michigan St.,B10,6-3,Arkansas2014,Davidson2007,Milwaukee2003,9.5,12,0.5331732568456353
56,Kentucky,SEC,1-6,Connecticut2010,BYU2008,Wake Forest2010,8.85,9,0.5322367634024817
57,Arizona St.,P12,4-3,Memphis2019,Maryland2005,Massachusetts2008,9.63,10,0.14501578634911158
58,Boise St.,MWC,6-1,Mississippi St.2005,Auburn2009,New Mexico St.2018,9.87,9,0.5673665095637
