,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
0,Baylor,B12,11-0,Louisville2014,Duke2004,Kansas2010,2.39,1,1.0000000000000004
1,Gonzaga,WCC,13-0,North Carolina2019,North Carolina2009,North Carolina2005,2.38,1,0.9999999999999996
2,Michigan,B10,11-0,Villanova2016,Kentucky2019,Duke2013,2.9,2,1.0000000000000002
3,Tennessee,SEC,9-1,Michigan St.2012,Ohio St.2013,Pittsburgh2003,3.44,2,0.9701907304681466
4,Wisconsin,B10,11-3,Ohio St.2013,Wisconsin2007,West Virginia2009,3.84,2,0.9999999999999997
5,Texas,B12,10-2,Duke2005,Illinois2003,Saint Joseph's2004,3.24,1,0.9869335635357787
6,Iowa,B10,11-2,Xavier2018,Iowa St.2016,North Carolina2018,4.08,1,0.9855985168954354
7,Creighton,BE,10-2,Purdue2017,Connecticut2006,Oklahoma2016,4.11,4,0.9842262658151387
8,Illinois,B10,9-4,Connecticut2006,Purdue2017,Oklahoma2016,4.22,3,0.9842117174594444
9,Texas Tech,B12,11-3,Louisville2011,Louisville2008,Wichita St.2016,4.33,5,0.9185951768514056
10,Houston,Amer,10-1,Stanford2004,Ohio St.2014,New Mexico2013,4.45,5,0.9510782356650355
11,Villanova,BE,8-1,Texas2008,Michigan2013,Drake2008,4.91,2,0.9447131770360025
12,USC,P12,10-2,Michigan St.2009,Kentucky2005,Memphis2012,4.62,3,0.9568266288939038
13,Colorado,P12,10-3,Memphis2012,Louisville2019,Villanova2009,4.99,3,0.9665436826331907
14,Virginia,ACC,8-2,Utah2005,Washington St.2008,Northern Iowa2015,6.07,4,0.8644220495956495
15,LSU,SEC,9-2,UCLA2014,Iowa St.2017,Iowa St.2015,5.34,5,0.9485459861662342
16,Florida St.,ACC,6-2,Houston2018,Iowa2016,Penn St.2018,5.42,4,0.9375146647206581
17,Connecticut,BE,7-1,Texas A&M2010,Pittsburgh2002,Syracuse2011,5.69,3,0.9874249192700814
